state,district,year,quarter,transaction_count,transaction_amount,log_transaction_amount
Andhra Pradesh,chittoor district,2020,2,14848197,27361300300.01902,24.032395454193495
Andhra Pradesh,guntur district,2020,2,12308707,27463593607.839108,24.036127095761003
Andhra Pradesh,krishna district,2020,2,12313709,26964149095.366295,24.01777400938257
Andhra Pradesh,east godavari district,2020,3,17972431,39300043804.75851,24.394491470471348
Andhra Pradesh,srikakulam district,2020,3,8286289,18029574581.337425,23.615279278893667
Andhra Pradesh,spsr nellore district,2020,3,16468209,39128324534.03022,24.390112454338148
Andhra Pradesh,vizianagaram district,2020,3,8236703,17567816576.501263,23.589334461503025
Andhra Pradesh,visakhapatnam district,2020,3,34421299,67628440368.111465,24.93729444703877
Andhra Pradesh,prakasam district,2020,3,12266310,31221704852.44969,24.164379358276562
Andhra Pradesh,anantapur district,2020,3,14447683,34102037972.65785,24.252622984073447
Andhra Pradesh,ysr district,2020,3,11934653,32037007334.12973,24.190157550761974
Andhra Pradesh,west godavari district,2020,3,10412351,25408608725.754295,23.958353879798544
Andhra Pradesh,kurnool district,2020,3,13243292,32529351107.17173,24.205408629743378
Andhra Pradesh,chittoor district,2020,3,20501863,42811566246.16463,24.4800741424458
Andhra Pradesh,guntur district,2020,3,17601395,42531195809.75448,24.47350366269311
Andhra Pradesh,krishna district,2020,3,19110457,44788458672.084435,24.525216324273536
Andhra Pradesh,east godavari district,2020,4,25989490,58732615663.118416,24.796261042593102
Andhra Pradesh,srikakulam district,2020,4,11092184,25222520275.27882,23.95100309414296
Andhra Pradesh,spsr nellore district,2020,4,20934374,49115443663.37911,24.61743935720722
Andhra Pradesh,vizianagaram district,2020,4,10580824,24094847668.445065,23.905263864937172
Andhra Pradesh,visakhapatnam district,2020,4,46551467,91879823025.40399,25.243747288627056
Andhra Pradesh,prakasam district,2020,4,16176867,41852443493.515396,24.457416019143164
Andhra Pradesh,anantapur district,2020,4,20996384,49732610814.26222,24.62992670809918
Andhra Pradesh,ysr district,2020,4,15676878,42572974713.44026,24.47448549253257
Andhra Pradesh,west godavari district,2020,4,15674762,40310975762.603455,24.419889620272304
Andhra Pradesh,kurnool district,2020,4,18737323,44718203115.22612,24.52364648422181
Andhra Pradesh,chittoor district,2020,4,29590411,61505711149.79541,24.84239587168784
Andhra Pradesh,guntur district,2020,4,26136538,60641872021.25432,24.828251448883417
Andhra Pradesh,krishna district,2020,4,27981050,64461504667.60723,24.889334055732803
Andhra Pradesh,east godavari district,2021,1,26190701,60027984987.96951,24.81807670691298
Andhra Pradesh,srikakulam district,2021,1,11160473,26486623313.092724,23.999905661893695
Andhra Pradesh,spsr nellore district,2021,1,22541428,52210333201.53073,24.678546266316154
Andhra Pradesh,vizianagaram district,2021,1,10514582,24153782497.243248,23.907706829966603
Andhra Pradesh,visakhapatnam district,2021,1,48248923,95308386037.84721,25.280383639945487
Andhra Pradesh,prakasam district,2021,1,15175395,41396223622.174774,24.446455496785646
Andhra Pradesh,anantapur district,2021,1,20102957,48353870395.01808,24.60181210519762
Andhra Pradesh,ysr district,2021,1,15374473,42570919448.50447,24.474437215085164
Andhra Pradesh,west godavari district,2021,1,16015685,42124030669.36126,24.463884214561574
Andhra Pradesh,kurnool district,2021,1,17918524,44941629659.56964,24.52863036607614
Andhra Pradesh,chittoor district,2021,1,29342609,60947491846.66089,24.833278541045193
Andhra Pradesh,guntur district,2021,1,27445045,64207987853.108406,24.885393461306183
Andhra Pradesh,krishna district,2021,1,29717175,69715406644.53485,24.96768717254683
Andhra Pradesh,east godavari district,2021,2,31717908,74604325863.66068,25.035464329936858
Andhra Pradesh,srikakulam district,2021,2,13546232,32298129544.540867,24.19827515669146
Andhra Pradesh,spsr nellore district,2021,2,30290406,72283071757.09679,25.003855799804178
Andhra Pradesh,vizianagaram district,2021,2,12689494,29140685236.830723,24.095401152805234
Andhra Pradesh,visakhapatnam district,2021,2,54390299,114439012713.35336,25.46330787798829
Andhra Pradesh,prakasam district,2021,2,19944047,54535328043.04135,24.722114549602715
Andhra Pradesh,anantapur district,2021,2,25123346,60987487571.279915,24.833934558313473
Andhra Pradesh,ysr district,2021,2,18457361,52523527031.02132,24.684527040105227
Andhra Pradesh,west godavari district,2021,2,20950964,57233116236.18796,24.770398522997855
Andhra Pradesh,kurnool district,2021,2,21972396,56659287474.995804,24.760321755837232
Andhra Pradesh,chittoor district,2021,2,34344902,73654690122.43158,25.02265365906892
Andhra Pradesh,guntur district,2021,2,32968819,82356914463.83287,25.134328254402664
Andhra Pradesh,krishna district,2021,2,36370960,90021923049.96454,25.223319067068743
Andhra Pradesh,east godavari district,2021,3,39572714,89380370072.7078,25.216166920896352
Andhra Pradesh,srikakulam district,2021,3,15639768,34836400769.876816,24.273928676214023
Andhra Pradesh,spsr nellore district,2021,3,34411958,77839676988.30869,25.077917125140686
Andhra Pradesh,vizianagaram district,2021,3,14510005,31383541628.212524,24.169549440509066
Andhra Pradesh,visakhapatnam district,2021,3,69220981,136945652159.26515,25.64284998450834
Andhra Pradesh,prakasam district,2021,3,24116580,63367713446.928055,24.872220317066983
Andhra Pradesh,anantapur district,2021,3,30366444,70291248155.64975,24.975913135220125
Andhra Pradesh,ysr district,2021,3,22439316,60683557724.652336,24.828938620651527
Andhra Pradesh,west godavari district,2021,3,26245039,66647238455.1675,24.92267944919687
Andhra Pradesh,kurnool district,2021,3,26377809,62527453761.59807,24.858871557443816
Andhra Pradesh,chittoor district,2021,3,42628568,89371931753.04831,25.21607250734666
Andhra Pradesh,guntur district,2021,3,41675093,96525353090.12305,25.293071537117715
Andhra Pradesh,krishna district,2021,3,44828275,104417897558.58972,25.371666930265185
Andhra Pradesh,east godavari district,2021,4,48992531,106725597026.00356,25.393526863643693
Andhra Pradesh,srikakulam district,2021,4,18501857,39713657870.15512,24.40496099245708
Andhra Pradesh,spsr nellore district,2021,4,41921081,92256405076.26547,25.247837549188652
Andhra Pradesh,vizianagaram district,2021,4,17253059,36577529464.9687,24.32269993979261
Andhra Pradesh,visakhapatnam district,2021,4,82711538,159530099772.73474,25.795498454682143
Andhra Pradesh,prakasam district,2021,4,27858275,71323060008.47623,24.99048553436974
Andhra Pradesh,anantapur district,2021,4,36129136,81239787006.64764,25.120670951888144
Andhra Pradesh,ysr district,2021,4,26340348,69081850069.2033,24.958557871426827
Andhra Pradesh,west godavari district,2021,4,33235175,81292461575.08182,25.121319125659653
Andhra Pradesh,kurnool district,2021,4,31782248,73968947669.64754,25.026911216010593
Andhra Pradesh,chittoor district,2021,4,51119640,103985734663.73514,25.367519559994335
Andhra Pradesh,guntur district,2021,4,50919286,115553993673.17337,25.473003735373073
Andhra Pradesh,krishna district,2021,4,55489829,125015323207.89836,25.55170215240689
Andhra Pradesh,east godavari district,2022,1,54738830,121067103712.79568,25.5196108049697
Andhra Pradesh,srikakulam district,2022,1,20990782,46898912115.649216,24.571260316322565
Andhra Pradesh,spsr nellore district,2022,1,47645702,104895571602.13988,25.37623113604422
Andhra Pradesh,vizianagaram district,2022,1,19278262,41994853361.58879,24.460812908735285
Andhra Pradesh,visakhapatnam district,2022,1,88233362,170120350591.26004,25.859771968182415
Andhra Pradesh,prakasam district,2022,1,31340975,79494373254.71565,25.098952079444246
Andhra Pradesh,anantapur district,2022,1,40613148,90197023268.43825,25.22526226202296
Andhra Pradesh,ysr district,2022,1,29783739,78421693518.90942,25.08536642908761
Andhra Pradesh,west godavari district,2022,1,37271259,92397939903.60938,25.249370519940843
Andhra Pradesh,kurnool district,2022,1,35093633,81568420500.54749,25.124708020353726
Andhra Pradesh,chittoor district,2022,1,58561024,117900595508.634,25.49310769544928
Andhra Pradesh,guntur district,2022,1,57226996,129673727687.08942,25.588287345592185
Andhra Pradesh,krishna district,2022,1,61826199,139690081529.49048,25.66269210233872
Andhra Pradesh,east godavari district,2022,2,62072845,135531452997.6391,25.632469575780434
Andhra Pradesh,srikakulam district,2022,2,23727353,53754764122.4327,24.707698134880907
Andhra Pradesh,spsr nellore district,2022,2,54838708,121941082043.49483,25.52680383096794
Andhra Pradesh,vizianagaram district,2022,2,21766135,47294745020.495636,24.57966502736106
Andhra Pradesh,visakhapatnam district,2022,2,101387402,193242841582.14285,25.98721348146728
